ID,group,species,species_phylo,experiment,temp,b,L,log10_L,mass_mid.g,min_mass.g,max_mass.g,L_state,study_id
1,water-breather,Abramis brama,Abramis brama,abra_holk_smr,5,0.65,0.017990026,-1.744968209,25.64589253,1.2522,525.2544,standard,35
2,water-breather,Abramis brama,Abramis brama,abra_holk_smr,10,0.72,0.031977134,-1.495160463,34.23703261,2.1976,533.3895,standard,35
3,water-breather,Abramis brama,Abramis brama,abra_holk_smr,15,0.73,0.053203814,-1.274057233,28.94655612,1.5278,548.4449,standard,35
4,water-breather,Abramis brama,Abramis brama,abra_holk_smr,20,0.7,0.079228494,-1.101118599,35.9215676,2.3491,549.311,standard,35
5,water-breather,Abramis brama,Abramis brama,abra_holk_smr,23,0.69,0.106424533,-0.972958247,35.20916637,2.6072,475.4818,standard,35
6,water-breather,Abramis brama,Abramis brama,abra_holk_rou,5,0.68,0.037179504,-1.429696408,25.64589253,1.2522,525.2544,routine,35
7,water-breather,Abramis brama,Abramis brama,abra_holk_rou,10,0.78,0.061590773,-1.210484345,34.23703261,2.1976,533.3895,routine,35
8,water-breather,Abramis brama,Abramis brama,abra_holk_rou,15,0.67,0.094526792,-1.024445081,28.94655612,1.5278,548.4449,routine,35
9,water-breather,Abramis brama,Abramis brama,abra_holk_rou,20,0.68,0.119211342,-0.923682423,35.9215676,2.3491,549.311,routine,35
10,water-breather,Abramis brama,Abramis brama,abra_holk_rou,23,0.68,0.148132773,-0.829348847,35.20916637,2.6072,475.4818,routine,35
11,water-breather,Acipenser medirostris,Acipenser medirostris,amed_mayf_res.rou,11,1.1,0.0936999,-1.028260873,52.16645252,1.7932,1517.6073,resting/routine,47
12,water-breather,Acipenser medirostris,Acipenser medirostris,amed_mayf_res.rou,19,1.11,0.1468167,-0.833224542,115.2375995,10.6902,1242.2325,resting/routine,47
13,water-breather,Acipenser medirostris,Acipenser medirostris,amed_mayf_res.rou,24,0.99,0.2630487,-0.57996384,99.16920041,9.1996,1069.0192,resting/routine,47
14,water-breather,Acroteriobatus annulatus,Acroteriobatus annulatus,aann_dupr_rou,15,0.83,0.082478007,-1.083661842,236.8543856,25,2244,routine,22
15,water-breather,Acroteriobatus annulatus,Acroteriobatus annulatus,aann_dupr_rou,20,0.79,0.12154546,-0.915261258,284.2006334,41,1970,routine,22
16,water-breather,Acroteriobatus annulatus,Acroteriobatus annulatus,aann_dupr_rou,25,0.8,0.169943367,-0.769695782,396.7152631,81,1943,routine,22
17,water-breather,Acroteriobatus annulatus,Acroteriobatus annulatus,aann_dupr_smr,15,0.85,0.068206817,-1.166172217,236.8543856,25,2244,standard,22
18,water-breather,Acroteriobatus annulatus,Acroteriobatus annulatus,aann_dupr_smr,20,0.84,0.099407693,-1.002580005,284.2006334,41,1970,standard,22
19,water-breather,Acroteriobatus annulatus,Acroteriobatus annulatus,aann_dupr_smr,25,0.83,0.128309433,-0.891741414,396.7152631,81,1943,standard,22
20,water-breather,Ameiurus nebulosus,Ameiurus nebulosus,aneb_beam_smr,10,0.998,0.0199614,-1.699809003,80.24961059,23,280,standard,3
21,water-breather,Ameiurus nebulosus,Ameiurus nebulosus,aneb_beam_smr,20,0.903,0.066462,-1.177426594,94.07443861,30,295,standard,3
22,water-breather,Ameiurus nebulosus,Ameiurus nebulosus,aneb_beam_smr,30,0.874,0.1092367,-0.961631428,81.24038405,22,300,standard,3
23,water-breather,Anabas testudineus,Anabas testudineus,ate_ghos,21,0.9329,0.1472282,-0.832008998,27.39525506,9.5,79,NA,29
24,water-breather,Anabas testudineus,Anabas testudineus,ate_ghos,31.5,0.89921,0.1874682,-0.727072391,29.84962311,11,81,NA,29
25,water-breather,Anarhichas lupus,Anarhichas lupus,alup_stei_rou,7,0.83,0.0751668,-1.123973938,440.2028504,28.8415,6718.732,routine,65
26,water-breather,Anarhichas lupus,Anarhichas lupus,alup_stei_rou,12,0.73,0.1401507,-0.853404729,187.6061572,6.9065,5096.0773,routine,65
27,water-breather,Anguilla anguilla,Anguilla anguilla,aang_dega_bas,18,1.291,0.0118279,-1.927092356,49.49747468,5,490,basal,17
28,water-breather,Anguilla anguilla,Anguilla anguilla,aang_dega_bas,20,0.773,0.0879259,-1.055883178,49.49747468,5,490,basal,17
29,water-breather,Anguilla anguilla,Anguilla anguilla,aang_dega_bas,24,0.6781,0.132657,-0.877269828,49.49747468,5,490,basal,17
30,water-breather,Anguilla anguilla,Anguilla anguilla,aang_dega_bas,27,0.6886,0.1659023,-0.780147593,49.49747468,5,490,basal,17
31,water-breather,Argyrosomus japonicus,Argyrosomus japonicus,ajap_piro_rou,14,0.854,0.0700453,-1.154621,262.8518887,58.4465,1182.1267,routine,59
32,water-breather,Argyrosomus japonicus,Argyrosomus japonicus,ajap_piro_rou,20,0.732,0.1223998,-0.912219292,247.299833,58.4465,1046.3801,routine,59
33,water-breather,Argyrosomus japonicus,Argyrosomus japonicus,ajap_piro_rou,26,0.754,0.1616356,-0.79146298,239.3751169,58.4465,980.3922,routine,59
34,water-breather,Austrolycus depressiceps,Austrolycus depressiceps,adep_vane_rou,10,0.9504,0.031419046,-1.502807006,8.597745348,1.0134,21.0016,routine,71
35,water-breather,Austrolycus depressiceps,Austrolycus depressiceps,adep_vane_rou,4,0.9569,0.009457713,-2.024213869,4.613367165,1.0134,21.0016,routine,71
36,water-breather,Austrolycus depressiceps,Austrolycus depressiceps,adep_vane_rou,2,0.9605,0.005249977,-2.279842599,3.253960839,1.1796,8.9759,routine,71
37,water-breather,Brevoortia tyrannus,Brevoortia tyrannus,btyr_hett_rou,10,0.782,0.1288655,-0.889863337,22.05003401,6.2,78.42,routine,33
